[0224/101201.282:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0224/115350.762:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0224/121140.302:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0224/153157.236:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0224/155006.196:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0228/123558.334:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0228/130555.351:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0228/152600.256:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0228/153129.341:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0228/153919.132:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0228/171054.788:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0228/171059.828:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0228/171104.847:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0228/171109.866:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
